class_id,class_name,precision,recall,f1,support
433,sentir,0.2500,0.3333,0.2857,3
434,separar,0.0000,0.0000,0.0000,0
435,ser,0.0000,0.0000,0.0000,1
436,sexto,0.0000,0.0000,0.0000,2
437,siempre,0.0000,0.0000,0.0000,0
438,siete,0.0000,0.0000,0.0000,2
439,siguiente,0.0000,0.0000,0.0000,0
440,siguiente-1,0.0000,0.0000,0.0000,0
441,siguiente-cinco,0.0000,0.0000,0.0000,0
442,siguiente-cuatro,0.0000,0.0000,0.0000,0
443,siguiente-dos,0.0000,0.0000,0.0000,0
444,siguiente-tres,0.0000,0.0000,0.0000,0
445,silencio,0.0000,0.0000,0.0000,0
446,silla,0.0000,0.0000,0.0000,1
447,sol,0.0000,0.0000,0.0000,2
448,solo,0.0000,0.0000,0.0000,1
449,solucionar,0.3750,0.7500,0.5000,4
450,solución,0.0000,0.0000,0.0000,0
451,sorprendido,0.0000,0.0000,0.0000,0
452,sorpresa,0.0000,0.0000,0.0000,0
453,suelo,0.0000,0.0000,0.0000,1
454,sumar,0.0000,0.0000,0.0000,0
455,sí,0.4286,0.3333,0.3750,9
456,sí?,0.0000,0.0000,0.0000,0
457,tal,0.0000,0.0000,0.0000,1
458,también,0.0000,0.0000,0.0000,2
459,tapar,0.0000,0.0000,0.0000,0
460,televisión,0.0000,0.0000,0.0000,0
461,tema,0.0000,0.0000,0.0000,0
462,temperatura,0.0000,0.0000,0.0000,0
463,tener,0.0000,0.0000,0.0000,1
464,tenso,0.0000,0.0000,0.0000,0
465,tiempo,0.0000,0.0000,0.0000,2
466,todo,0.0000,0.0000,0.0000,2
467,todos,0.0000,0.0000,0.0000,1
468,torta,0.0000,0.0000,0.0000,1
469,trabajar,0.0000,0.0000,0.0000,0
470,trabajo,0.0000,0.0000,0.0000,0
471,traer,0.0000,0.0000,0.0000,0
472,tranquila,0.0000,0.0000,0.0000,0
473,tres,0.0000,0.0000,0.0000,5
474,triste,0.0000,0.0000,0.0000,1
475,tristeza,0.0000,0.0000,0.0000,1
476,tu,0.0000,0.0000,0.0000,0
477,título,0.0000,0.0000,0.0000,0
478,tú,0.1667,0.3846,0.2326,13
479,un,0.0000,0.0000,0.0000,0
480,unido,0.0000,0.0000,0.0000,0
481,unir,0.0000,0.0000,0.0000,0
482,unión,0.0000,0.0000,0.0000,1
483,uno,0.2857,0.4000,0.3333,5
484,usar,0.0000,0.0000,0.0000,3
485,ustedes,0.0000,0.0000,0.0000,1
486,uy,0.0000,0.0000,0.0000,0
487,vaca,0.0000,0.0000,0.0000,1
488,valioso,0.0000,0.0000,0.0000,0
489,valor,0.0000,0.0000,0.0000,1
490,vamos,0.0000,0.0000,0.0000,0
491,varios,0.0000,0.0000,0.0000,0
492,vender,0.0000,0.0000,0.0000,1
493,venir,0.0000,0.0000,0.0000,2
494,ver,0.3000,0.6000,0.4000,5
495,verduras,0.0000,0.0000,0.0000,0
496,viernes,0.0000,0.0000,0.0000,0
497,vitamina,0.0000,0.0000,0.0000,1
498,vitaminas,0.0000,0.0000,0.0000,1
499,voley,0.0000,0.0000,0.0000,0
500,voltear,0.0000,0.0000,0.0000,0
501,volver,0.0000,0.0000,0.0000,1
502,ya,0.0000,0.0000,0.0000,2
503,yo,0.2727,0.3750,0.3158,8
504,él,0.0000,0.0000,0.0000,4
